Prospect Name,Prospect Type,Channel,Group URL,FB Group ID / Slug,State / Region,Public / Private,Members,Member Count Numeric,Segment,Fit Score,Risk Score,Priority,Promo Rule Clue,Promotions Allowed,Posting Box Visible,Campaign ID,Poster Variant,Caption Family,Tracking Link,Outreach Status,Suggested Wave,Notes
Deer Antler Galore USA Only us,Facebook Group,Facebook Groups,https://facebook.com/groups/694939719376803,694939719376803,US / Antler,Public,8.1K,8100,Shed / Antler,3,3,B - Later,Buy/sell/antler/shed emphasis,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-shed,Not Posted,Wave 3,"Antler/rack hunting, not core deer camp culture"
Virginia Whitetail Deer Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/183606771659718,183606771659718,Virginia,Private,2.5K,2500,State Deer Hunting,5,3,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-va,Not Posted,Wave 1,"Screenshot title on browser suggested U.P. Deer Hunters in one tab, but actual displayed group was U.P. Deer Hunters in earlier batch; verify name if importing."
Kansas Whitetails,Facebook Group,Facebook Groups,https://facebook.com/groups/196385137098524,196385137098524,Kansas,Private,12.2K,12200,State Deer Hunting,5,3,A - Pilot,Visible raffle/promo post,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 1,Strong whitetail fit; active group
Minnesota Dive Bars,Facebook Group,Facebook Groups,https://facebook.com/groups/mndivebars,mndivebars,Minnesota,Private,48.0K,48000,Tavern / Adjacent,2,3,Hold,"Bar/dive bar group, not deer-specific",Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-mn,Not Posted,Hold,"Hold for tavern partner outreach, not deer hunter launch"
Wisco Dive Bars Reviews,Facebook Group,Facebook Groups,,,Wisconsin,Unknown,,,Tavern / Adjacent,2,3,Hold,Not deer-specific,Unknown,Unknown,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-wi,Not Posted,Hold,Hold for tavern partner channel
I grew up in Wisconsin,Facebook Group,Facebook Groups,https://facebook.com/groups/lovewisconsin,lovewisconsin,Wisconsin,Public,21.0K,21000,Local Nostalgia,2,3,Hold,"Local nostalgia, not deer-specific",Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-wi,Not Posted,Hold,Could work only with very soft WI nostalgia angle
Ontario Hunters,Facebook Group,Facebook Groups,https://facebook.com/groups/21269360426,21269360426,Ontario / Canada,Public,2.7K,2700,Regional Hunting,4,2,B+,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 2,Good hunting story fit; Canada region
Hunting in the South,Facebook Group,Facebook Groups,https://facebook.com/groups/329513074200628,329513074200628,South / United States,Public,6.8K,6800,Regional Deer Hunting,5,2,A - Pilot,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-south,Not Posted,Wave 1,Strong deer/turkey hunting fit
Pennsylvania Deer Wars,Facebook Group,Facebook Groups,https://facebook.com/groups/252496137522587,252496137522587,Pennsylvania,Public,4.9K,4900,State Hunting / Conservation,4,2,B+,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-pa,Not Posted,Wave 2,PA hunting/conservation audience
Arkansas & Louisiana - Archery & Gun Deer Hunting,Facebook Group,Facebook Groups,https://facebook.com/groups/433887246813722,433887246813722,Arkansas / Louisiana,Public,4.9K,4900,Regional Deer Hunting,5,5,Remove - No Promo,About says no adds/no ads,No,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-south,Not Posted,Do Not Post,Avoid unless admin approval is granted
Whitetail Hunters Of America,Facebook Group,Facebook Groups,https://facebook.com/groups/230806400683656,230806400683656,United States,Public,6.5K,6500,Whitetail Culture,5,3,A/B,No rule visible,Unknown,Yes,FB-DEER-GROUPS-2026,FB-Core-DeerCamp,Founder Feedback / Private Camp Space,/r/fb-deer-groups,Not Posted,Wave 2,Strong national whitetail fit
