Business Name,State,City,Category,Campaign ID,Website,Facebook Page,Messenger URL,Email,Contact Method,First Contact Date,Contact Name,Phone Number,DeerCamp Fit Score,Outreach Status,Last Follow-Up Date,Next Follow-Up Date,Response Notes,Interested Status,Partnership Potential,Referred Camps,Follow-Up Needed,Source,Priority Tier,Last Contacted By,Relationship Warmth,Notes from Processor,Seasonality,Potential Founding Partner,Preferred Outreach Channel,Region,Tags,Date Added,Processor Size,Active Hunting Social Presence,Messenger URL Auto,Discovery Source,Normalized Name,RuleA_Key,Dedupe Key,Duplicate Count,Partner Display Name,Partner Type,Poster Business Name,Poster Partner Type,Poster Campaign ID,Campaign URL,QR Code File,Poster File Name,Facebook JPG File Name,Campaign Source,Campaign Medium,Campaign Name,Campaign Content,Campaign Term,Short Link Slug,Attribution URL,Contact Role,Contact Confidence,Website Source URL,Facebook Source URL,Email Source URL,Phone Source URL,Verified Date,Enrichment Status,Enrichment Notes,Data Quality Flag
A&W Ironworks Bar & Grill,WI,Sparta,Tavern / Supper Club,WI-TAVERN-001,,,,,Poster / QR Outreach,,,,5,Needs Review,,,"Send founder intro + DeerCamp poster/QR; ask owner/manager about posting near bar, bulletin board, or rifle-opener/weekend traffic.",,Tavern Poster / QR Partner,0,checked,DeerCamp Tavern/Supper Club prospect research,Tier 1,,Warm fit,"County Deer Indicator: Wisconsin high deer hunting / rural outdoor recreation corridor; verify county ranking in source | County Source: https://dnr.wisconsin.gov/topic/WildlifeHabitat/harvest/deerharvest | County Selection: Wisconsin high deer hunting / rural outdoor recreation corridor; verify county ranking in source | Fit Reason: local bar/tavern format; located in or near a prioritized deer-hunting county; good fit for poster/QR handoff and founder-intro outreach | Original Notes: Expanded prospect list; verify current ownership, best contact, and DeerCamp hunting-culture cues before outreach.",Year-round; strongest before archery and rifle opener,checked,In-person dropoff,WI,"Tavern / Supper Club,WI,WI-TAVERN-016,Deer Hunting Counties,QR Poster",6/4/2026,,,,Tavern/Supper Club Top 30 per State research workbook,a w ironworks bar grill,name::a w ironworks bar grill,a w ironworks bar grill | sparta | wi,1.0,A&W Ironworks Bar & Grill,TAVERN PARTNER,A&W Ironworks Bar & Grill,TAVERN PARTNER,WI-TAVERN-001,https://www.ourdeercamp.com/r/wi-tavern-001,WI-TAVERN-001-aandw-ironworks-bar-and-grill-qr.png,WI-TAVERN-001-aandw-ironworks-bar-and-grill-poster.pdf,WI-TAVERN-001-aandw-ironworks-bar-and-grill-facebook.jpg,wi-tavern,qr-poster,wi-tavern-partners,WI-TAVERN-001,aandw-ironworks-bar-and-grill,wi-tavern-001,https://www.ourdeercamp.com/r/wi-tavern-001,General / Manager,Not Found,,,,,2026-06-04,Needs Review,No reliable WI tavern/bar match found in web search; search results pointed to unrelated A&W/Ironworks pages. Verify business name and city before outreach.,Needs Review
Blanck's Supper Club,WI,Malone,Tavern / Supper Club,WI-TAVERN-002,https://blanckssupper.kwickmenu.com/,https://www.facebook.com/BlancksSupperClub/,https://m.me/BlancksSupperClub,blanckssupperclub@ymail.com,Poster / QR Outreach,,,(920) 795-4484,5,Ready for Outreach,,,"Send founder intro + DeerCamp poster/QR; ask owner/manager about posting near bar, bulletin board, or rifle-opener/weekend traffic.",,Tavern Poster / QR Partner,0,checked,DeerCamp Tavern/Supper Club prospect research,Tier 1,,Warm fit,"County Deer Indicator: Wisconsin high deer hunting / rural outdoor recreation corridor; verify county ranking in source | County Source: https://dnr.wisconsin.gov/topic/WildlifeHabitat/harvest/deerharvest | County Selection: Wisconsin high deer hunting / rural outdoor recreation corridor; verify county ranking in source | Fit Reason: supper-club style gathering place; located in or near a prioritized deer-hunting county; good fit for poster/QR handoff and founder-intro outreach | Original Notes: Expanded prospect list; verify current ownership, best contact, and DeerCamp hunting-culture cues before outreach.",Year-round; strongest before archery and rifle opener,checked,Email,WI,"Tavern / Supper Club,WI,WI-TAVERN-022,Deer Hunting Counties,QR Poster",6/4/2026,,,https://m.me/BlancksSupperClub,Tavern/Supper Club Top 30 per State research workbook,blanck s supper club,name::blanck s supper club,blanck s supper club | malone | wi,1.0,Blanck's Supper Club,SUPPER CLUB PARTNER,Blanck's Supper Club,SUPPER CLUB PARTNER,WI-TAVERN-002,https://www.ourdeercamp.com/r/wi-tavern-002,WI-TAVERN-002-blanck-s-supper-club-qr.png,WI-TAVERN-002-blanck-s-supper-club-poster.pdf,WI-TAVERN-002-blanck-s-supper-club-facebook.jpg,wi-tavern,qr-poster,wi-tavern-partners,WI-TAVERN-002,blanck-s-supper-club,wi-tavern-002,https://www.ourdeercamp.com/r/wi-tavern-002,General / Owner-Manager,High,https://blanckssupper.kwickmenu.com/,https://www.facebook.com/BlancksSupperClub/,https://www.facebook.com/BlancksSupperClub/,https://blanckssupper.kwickmenu.com/,2026-06-04,Enriched,Official/order-menu page confirms address and phone; Facebook posts/snippets show email.,Verified
Boot Hill Pub,WI,La Crosse,Tavern / Supper Club,WI-TAVERN-003,https://www.boothillpub.com/,,,boothillmeg@yahoo.com,Poster / QR Outreach,,,(608) 782-3826,5,Ready for Outreach,,,"Send founder intro + DeerCamp poster/QR; ask owner/manager about posting near bar, bulletin board, or rifle-opener/weekend traffic.",,Tavern Poster / QR Partner,0,checked,DeerCamp Tavern/Supper Club prospect research,Tier 1,,Warm fit,"County Deer Indicator: Wisconsin high deer hunting / rural outdoor recreation corridor; verify county ranking in source | County Source: https://dnr.wisconsin.gov/topic/WildlifeHabitat/harvest/deerharvest | County Selection: Wisconsin high deer hunting / rural outdoor recreation corridor; verify county ranking in source | Fit Reason: local bar/tavern format; located in or near a prioritized deer-hunting county; good fit for poster/QR handoff and founder-intro outreach | Original Notes: Expanded prospect list; verify current ownership, best contact, and DeerCamp hunting-culture cues before outreach.",Year-round; strongest before archery and rifle opener,checked,Email,WI,"Tavern / Supper Club,WI,WI-TAVERN-027,Deer Hunting Counties,QR Poster",6/4/2026,,,,Tavern/Supper Club Top 30 per State research workbook,boot hill pub,name::boot hill pub,boot hill pub | la crosse | wi,1.0,Boot Hill Pub,TAVERN PARTNER,Boot Hill Pub,TAVERN PARTNER,WI-TAVERN-003,https://www.ourdeercamp.com/r/wi-tavern-003,WI-TAVERN-003-boot-hill-pub-qr.png,WI-TAVERN-003-boot-hill-pub-poster.pdf,WI-TAVERN-003-boot-hill-pub-facebook.jpg,wi-tavern,qr-poster,wi-tavern-partners,WI-TAVERN-003,boot-hill-pub,wi-tavern-003,https://www.ourdeercamp.com/r/wi-tavern-003,General / Manager,High,https://www.boothillpub.com/,,https://www.boothillpub.com/,https://www.boothillpub.com/,2026-06-04,Enriched,Official website contact block lists phone and email.,Verified
Borgen's Cafe,WI,Westby,Tavern / Supper Club,WI-TAVERN-004,http://borgenscafe.com/,https://www.facebook.com/BorgensCafe/,https://m.me/BorgensCafe,borgens@mwt.net,Poster / QR Outreach,,Blane & Mary Charles,(608) 634-4003,5,Ready for Outreach,,,"Send founder intro + DeerCamp poster/QR; ask owner/manager about posting near bar, bulletin board, or rifle-opener/weekend traffic.",,Tavern Poster / QR Partner,0,checked,DeerCamp Tavern/Supper Club prospect research,Tier 1,,Warm fit,"County Deer Indicator: 2025 WI DNR Driftless/coulee deer harvest corridor | County Source: https://dnr.wisconsin.gov/topic/WildlifeHabitat/harvest/deerharvest | County Selection: 2025 WI DNR Driftless/coulee deer harvest corridor | Fit Reason: located in or near a prioritized deer-hunting county; good fit for poster/QR handoff and founder-intro outreach | Original Notes: Expanded prospect list; verify current ownership, best contact, and DeerCamp hunting-culture cues before outreach.",Year-round; strongest before archery and rifle opener,checked,Email,WI,"Tavern / Supper Club,WI,WI-TAVERN-013,Deer Hunting Counties,QR Poster",6/4/2026,,,https://m.me/BorgensCafe,Tavern/Supper Club Top 30 per State research workbook,borgen s cafe,name::borgen s cafe,borgen s cafe | westby | wi,1.0,Borgen's Cafe,TAVERN PARTNER,Borgen's Cafe,TAVERN PARTNER,WI-TAVERN-004,https://www.ourdeercamp.com/r/wi-tavern-004,WI-TAVERN-004-borgen-s-cafe-qr.png,WI-TAVERN-004-borgen-s-cafe-poster.pdf,WI-TAVERN-004-borgen-s-cafe-facebook.jpg,wi-tavern,qr-poster,wi-tavern-partners,WI-TAVERN-004,borgen-s-cafe,wi-tavern-004,https://www.ourdeercamp.com/r/wi-tavern-004,Owner / General,High,https://driftlesswisconsin.com/project/borgens-cafe/,https://www.facebook.com/BorgensCafe/,https://driftlesswisconsin.com/project/borgens-cafe/,https://driftlesswisconsin.com/project/borgens-cafe/,2026-06-04,Enriched,"Directory and Facebook page confirm website, email, phone, and owners.",Verified
Buckhorn Supper Club,WI,Milton,Tavern / Supper Club,WI-TAVERN-005,https://buckhornsupperclub.com/,https://www.facebook.com/thebuckhorn,https://m.me/thebuckhorn,,Poster / QR Outreach,,,(608) 868-2653,5,Ready for Outreach,,,"Send founder intro + DeerCamp poster/QR; ask owner/manager about posting near bar, bulletin board, or rifle-opener/weekend traffic.",,Tavern Poster / QR Partner,0,checked,DeerCamp Tavern/Supper Club prospect research,Tier 1,,Warm fit,"County Deer Indicator: Wisconsin high deer hunting / rural outdoor recreation corridor; verify county ranking in source | County Source: https://dnr.wisconsin.gov/topic/WildlifeHabitat/harvest/deerharvest | County Selection: Wisconsin high deer hunting / rural outdoor recreation corridor; verify county ranking in source | Fit Reason: supper-club style gathering place; located in or near a prioritized deer-hunting county; good fit for poster/QR handoff and founder-intro outreach | Original Notes: Expanded prospect list; verify current ownership, best contact, and DeerCamp hunting-culture cues before outreach.",Year-round; strongest before archery and rifle opener,checked,Phone,WI,"Tavern / Supper Club,WI,WI-TAVERN-020,Deer Hunting Counties,QR Poster",6/4/2026,,,https://m.me/thebuckhorn,Tavern/Supper Club Top 30 per State research workbook,buckhorn supper club,name::buckhorn supper club,buckhorn supper club | milton | wi,1.0,Buckhorn Supper Club,SUPPER CLUB PARTNER,Buckhorn Supper Club,SUPPER CLUB PARTNER,WI-TAVERN-005,https://www.ourdeercamp.com/r/wi-tavern-005,WI-TAVERN-005-buckhorn-supper-club-qr.png,WI-TAVERN-005-buckhorn-supper-club-poster.pdf,WI-TAVERN-005-buckhorn-supper-club-facebook.jpg,wi-tavern,qr-poster,wi-tavern-partners,WI-TAVERN-005,buckhorn-supper-club,wi-tavern-005,https://www.ourdeercamp.com/r/wi-tavern-005,General / Reservations,High,https://buckhornsupperclub.com/contact,https://buckhornsupperclub.com/contact,,https://buckhornsupperclub.com/contact,2026-06-04,Enriched,"Official contact page confirms address, phone, and Facebook page.",Verified
Club 16,WI,Sparta,Tavern / Supper Club,WI-TAVERN-006,,,,,Poster / QR Outreach,,,(608) 366-1958,5,Ready for Outreach,,,"Send founder intro + DeerCamp poster/QR; ask owner/manager about posting near bar, bulletin board, or rifle-opener/weekend traffic.",,Tavern Poster / QR Partner,0,checked,DeerCamp Tavern/Supper Club prospect research,Tier 1,,Warm fit,"County Deer Indicator: Wisconsin high deer hunting / rural outdoor recreation corridor; verify county ranking in source | County Source: https://dnr.wisconsin.gov/topic/WildlifeHabitat/harvest/deerharvest | County Selection: Wisconsin high deer hunting / rural outdoor recreation corridor; verify county ranking in source | Fit Reason: local bar/tavern format; located in or near a prioritized deer-hunting county; good fit for poster/QR handoff and founder-intro outreach | Original Notes: Expanded prospect list; verify current ownership, best contact, and DeerCamp hunting-culture cues before outreach.",Year-round; strongest before archery and rifle opener,checked,Phone,WI,"Tavern / Supper Club,WI,WI-TAVERN-017,Deer Hunting Counties,QR Poster",6/4/2026,,,,Tavern/Supper Club Top 30 per State research workbook,club 16,name::club 16,club 16 | sparta | wi,1.0,Club 16,TAVERN PARTNER,Club 16,TAVERN PARTNER,WI-TAVERN-006,https://www.ourdeercamp.com/r/wi-tavern-006,WI-TAVERN-006-club-16-qr.png,WI-TAVERN-006-club-16-poster.pdf,WI-TAVERN-006-club-16-facebook.jpg,wi-tavern,qr-poster,wi-tavern-partners,WI-TAVERN-006,club-16,wi-tavern-006,https://www.ourdeercamp.com/r/wi-tavern-006,General / Manager,Medium,https://www.restaurant.com/locations/club-16-3381,,,https://www.restaurant.com/locations/club-16-3381,2026-06-04,Partially Enriched,"Restaurant.com listing confirms Club 16 in Sparta and phone; Facebook URL not specific in source, so left blank.",Likely Match
Club 23,WI,Wisconsin Dells,Tavern / Supper Club,WI-TAVERN-007,,https://www.facebook.com/club23inthedells/,https://m.me/club23inthedells,,Poster / QR Outreach,,,,5,Ready for Outreach,,,"Send founder intro + DeerCamp poster/QR; ask owner/manager about posting near bar, bulletin board, or rifle-opener/weekend traffic.",,Tavern Poster / QR Partner,0,checked,DeerCamp Tavern/Supper Club prospect research,Tier 1,,Warm fit,"County Deer Indicator: 2025 WI DNR south-central public/private deer hunting activity | County Source: https://dnr.wisconsin.gov/topic/WildlifeHabitat/harvest/deerharvest | County Selection: 2025 WI DNR south-central public/private deer hunting activity | Fit Reason: supper-club style gathering place; located in or near a prioritized deer-hunting county; good fit for poster/QR handoff and founder-intro outreach | Original Notes: Expanded prospect list; verify current ownership, best contact, and DeerCamp hunting-culture cues before outreach.",Year-round; strongest before archery and rifle opener,checked,Facebook Messenger,WI,"Tavern / Supper Club,WI,WI-TAVERN-025,Deer Hunting Counties,QR Poster",6/4/2026,,,https://m.me/club23inthedells,Tavern/Supper Club Top 30 per State research workbook,club 23,name::club 23,club 23 | wisconsin dells | wi,1.0,Club 23,TAVERN PARTNER,Club 23,TAVERN PARTNER,WI-TAVERN-007,https://www.ourdeercamp.com/r/wi-tavern-007,WI-TAVERN-007-club-23-qr.png,WI-TAVERN-007-club-23-poster.pdf,WI-TAVERN-007-club-23-facebook.jpg,wi-tavern,qr-poster,wi-tavern-partners,WI-TAVERN-007,club-23,wi-tavern-007,https://www.ourdeercamp.com/r/wi-tavern-007,General / Manager,Medium,,https://www.facebook.com/club23inthedells/,,,2026-06-04,Partially Enriched,Facebook page found for Club 23 in Wisconsin Dells; phone/email not verified from reliable source in this pass.,Likely Match
Cream Bar,WI,Alma,Tavern / Supper Club,WI-TAVERN-008,,,,,Poster / QR Outreach,,Jason Dorn,(608) 685-4448,5,Ready for Outreach,,,"Send founder intro + DeerCamp poster/QR; ask owner/manager about posting near bar, bulletin board, or rifle-opener/weekend traffic.",,Tavern Poster / QR Partner,0,checked,DeerCamp Tavern/Supper Club prospect research,Tier 1,,Warm fit,"County Deer Indicator: 2025 WI DNR western bluff-country deer activity | County Source: https://dnr.wisconsin.gov/topic/WildlifeHabitat/harvest/deerharvest | County Selection: 2025 WI DNR western bluff-country deer activity | Fit Reason: local bar/tavern format; located in or near a prioritized deer-hunting county; good fit for poster/QR handoff and founder-intro outreach | Original Notes: Expanded prospect list; verify current ownership, best contact, and DeerCamp hunting-culture cues before outreach.",Year-round; strongest before archery and rifle opener,checked,Phone,WI,"Tavern / Supper Club,WI,WI-TAVERN-005,Deer Hunting Counties,QR Poster",6/4/2026,,,,Tavern/Supper Club Top 30 per State research workbook,cream bar,name::cream bar,cream bar | alma | wi,1.0,Cream Bar,TAVERN PARTNER,Cream Bar,TAVERN PARTNER,WI-TAVERN-008,https://www.ourdeercamp.com/r/wi-tavern-008,WI-TAVERN-008-cream-bar-qr.png,WI-TAVERN-008-cream-bar-poster.pdf,WI-TAVERN-008-cream-bar-facebook.jpg,wi-tavern,qr-poster,wi-tavern-partners,WI-TAVERN-008,cream-bar,wi-tavern-008,https://www.ourdeercamp.com/r/wi-tavern-008,Owner,High,https://members.tlw.org/directory/Details/cream-bar-1939556,,,https://members.tlw.org/directory/Details/cream-bar-1939556,2026-06-04,Partially Enriched,Tavern League directory confirms phone and owner; no official website/Facebook found in this pass.,Verified
Driftless Cafe,WI,Viroqua,Tavern / Supper Club,WI-TAVERN-009,https://www.driftlesscafe.com/,https://www.facebook.com/p/Driftless-Cafe-100064418630685/,,wiscochef@gmail.com,Poster / QR Outreach,,,(608) 637-7778,5,Ready for Outreach,,,"Send founder intro + DeerCamp poster/QR; ask owner/manager about posting near bar, bulletin board, or rifle-opener/weekend traffic.",,Tavern Poster / QR Partner,0,checked,DeerCamp Tavern/Supper Club prospect research,Tier 1,,Warm fit,"County Deer Indicator: 2025 WI DNR Driftless/coulee deer harvest corridor | County Source: https://dnr.wisconsin.gov/topic/WildlifeHabitat/harvest/deerharvest | County Selection: 2025 WI DNR Driftless/coulee deer harvest corridor | Fit Reason: local bar/tavern format; located in or near a prioritized deer-hunting county; good fit for poster/QR handoff and founder-intro outreach | Original Notes: Expanded prospect list; verify current ownership, best contact, and DeerCamp hunting-culture cues before outreach.",Year-round; strongest before archery and rifle opener,checked,Email,WI,"Tavern / Supper Club,WI,WI-TAVERN-011,Deer Hunting Counties,QR Poster",6/4/2026,,,,Tavern/Supper Club Top 30 per State research workbook,driftless cafe,name::driftless cafe,driftless cafe | viroqua | wi,1.0,Driftless Cafe,TAVERN PARTNER,Driftless Cafe,TAVERN PARTNER,WI-TAVERN-009,https://www.ourdeercamp.com/r/wi-tavern-009,WI-TAVERN-009-driftless-cafe-qr.png,WI-TAVERN-009-driftless-cafe-poster.pdf,WI-TAVERN-009-driftless-cafe-facebook.jpg,wi-tavern,qr-poster,wi-tavern-partners,WI-TAVERN-009,driftless-cafe,wi-tavern-009,https://www.ourdeercamp.com/r/wi-tavern-009,Reservations / Large Parties,High,https://www.driftlesscafe.com/contactus,https://www.facebook.com/p/Driftless-Cafe-100064418630685/,https://www.driftlesscafe.com/reservations,https://www.driftlesscafe.com/contactus,2026-06-04,Enriched,Official site confirms phone; reservations page lists email for parties of 10+.,Verified
Features Sports Bar & Grill,WI,Holmen,Tavern / Supper Club,WI-TAVERN-010,https://featuresinholmen.com/,,,Info@featuresinholmen.com,Poster / QR Outreach,,James Steinbrink,(608) 526-3600,5,Ready for Outreach,,,"Send founder intro + DeerCamp poster/QR; ask owner/manager about posting near bar, bulletin board, or rifle-opener/weekend traffic.",,Tavern Poster / QR Partner,0,checked,DeerCamp Tavern/Supper Club prospect research,Tier 1,,Warm fit,"County Deer Indicator: Wisconsin high deer hunting / rural outdoor recreation corridor; verify county ranking in source | County Source: https://dnr.wisconsin.gov/topic/WildlifeHabitat/harvest/deerharvest | County Selection: Wisconsin high deer hunting / rural outdoor recreation corridor; verify county ranking in source | Fit Reason: local bar/tavern format; located in or near a prioritized deer-hunting county; good fit for poster/QR handoff and founder-intro outreach | Original Notes: Expanded prospect list; verify current ownership, best contact, and DeerCamp hunting-culture cues before outreach.",Year-round; strongest before archery and rifle opener,checked,Email,WI,"Tavern / Supper Club,WI,WI-TAVERN-028,Deer Hunting Counties,QR Poster",6/4/2026,,,,Tavern/Supper Club Top 30 per State research workbook,features sports bar grill,name::features sports bar grill,features sports bar grill | holmen | wi,1.0,Features Sports Bar & Grill,TAVERN PARTNER,Features Sports Bar & Grill,TAVERN PARTNER,WI-TAVERN-010,https://www.ourdeercamp.com/r/wi-tavern-010,WI-TAVERN-010-features-sports-bar-and-grill-qr.png,WI-TAVERN-010-features-sports-bar-and-grill-poster.pdf,WI-TAVERN-010-features-sports-bar-and-grill-facebook.jpg,wi-tavern,qr-poster,wi-tavern-partners,WI-TAVERN-010,features-sports-bar-and-grill,wi-tavern-010,https://www.ourdeercamp.com/r/wi-tavern-010,Business contact / Manager,High,https://wigrr.com/listing/features-sports-bar-and-grill/,,https://wigrr.com/listing/features-sports-bar-and-grill/,https://wigrr.com/listing/features-sports-bar-and-grill/,2026-06-04,Enriched,WI Great River Road listing confirms website/phone/email; Holmen business listing identifies James Steinbrink.,Verified
